"","region","address","village","id","network_id","network_village","network_address","takeup_survey","delay","intensive","understanding","network_missname"
"1",3,"xihuxinze2","xihu",33310279,99,"xihu","xihuxinze1",NA,NA,NA,NA,0
"2",1,"xinlian1314","xinlian",11125310,99,"xinlian","xinlian1314",NA,NA,NA,NA,0
"3",2,"fuzhouxinkanshang","fuzhou",2229114,99,"fuzhou","fuzhouxinkanshang",NA,NA,NA,NA,0
"4",1,"zhangxi82","zhangxi",1114548,99,"zhangxi","zhangxi8",NA,NA,NA,NA,0
"5",1,"hefeng14","hefeng",11117753,99,"hefeng","hefeng14",NA,NA,NA,NA,0
"6",1,"xinlian56","xinlian",11125122,99,"xinlian","xinlian56",NA,NA,NA,NA,0
"7",3,"beidangxinzhi","beidang",3331067,99,"beidang","beidangxinzhi",NA,NA,NA,NA,0
"8",2,"yanjiangtangshang","yanjiang",2222118,99,"yanjiang","yanjiangtangshang",NA,NA,NA,NA,0
"9",1,"xinlian7","xinlian",11125157,99,"xinlian","xinlian7",NA,NA,NA,NA,0
"10",2,"dayuminjia","dayu",22211456,99,"dayu","dayuminjia",NA,NA,NA,NA,0
"11",1,"xinlian1112","xinlian",11125274,99,"xinlian","xinlian1112",NA,NA,NA,NA,0
"12",1,"zhangxi6","zhangxi",1114431,99,"zhangxi","zhangxi6",NA,NA,NA,NA,0
"13",1,"xiecheng4","xiecheng",1115236,99,"xiecheng","xiecheng4",NA,NA,NA,NA,0
"14",1,"hefeng6","hefeng",11117364,99,"hefeng","hefeng6",NA,NA,NA,NA,0
"15",1,"jingang3","jingang",1112093,99,"jingang","jingang3",NA,NA,NA,NA,0
"16",1,"beixing712","beixing",11116132,99,"beixing","beixing712",NA,NA,NA,NA,0
"17",3,"longqingshanglonghejia","longqing",33311043,99,"longqing","longqingshanglonghejia",NA,NA,NA,NA,0
"18",1,"dukou2","dukou",1116074,99,"dukou","dukou5",NA,NA,NA,NA,0
"19",3,"longqingshanglonghejia","longqing",33311043,99,"longqing","longqingqifang",NA,NA,NA,NA,0
"20",3,"xihuxinze2","xihu",33310279,99,"xihu","xihuxinze1",NA,NA,NA,NA,0
"21",1,"xinlian56","xinlian",11125150,99,"xinlian","xinlian56",NA,NA,NA,NA,0
"22",1,"xilian8","xilian",1119185,99,"xilian","xilian12",NA,NA,NA,NA,0
"23",1,"zhangxi5","zhangxi",1114314,99,"zhangxi","zhangxi5",NA,NA,NA,NA,0
"24",2,"dayuxiajia","dayu",22211321,99,"dayu","dayuxiajia",NA,NA,NA,NA,0
"25",1,"beilian2","beilian",11122031,99,"beilian","beilian2",NA,NA,NA,NA,0
"26",3,"longqingqifang","longqing",33311061,99,"longqing","longqingqifang",NA,NA,NA,NA,0
"27",2,"dayuxiajia","dayu",22211351,99,"dayu","dayuxiajia",NA,NA,NA,NA,0
"28",3,"yazhouxiabian1","yazhou",3335133,99,"yazhou","yazhouxiabian1",NA,NA,NA,NA,0
"29",2,"xianghuxianghudong","xianghu",2221194,99,"xianghu","xianghu",NA,NA,NA,NA,0
"30",1,"minzhu4","minzhu",11112178,99,"minzhu","minzhu4",NA,NA,NA,NA,0
"31",2,"fuzhouxintanshang","fuzhou",2229156,99,"fuzhou","fuzhou",NA,NA,NA,NA,0
"32",1,"xinlian1314","xinlian",11125315,99,"xinlian","xinlian1314",NA,NA,NA,NA,0
"33",1,"hongxing3","hongxing",11123099,99,"hongxing","hongxing3",NA,NA,NA,NA,0
"34",2,"dazhoulaoji2","dazhou",22210122,99,"dazhou","dazhoulaoji2",NA,NA,NA,NA,0
"35",1,"hongxing3","hongxing",11123101,99,"hongxing","hongxing3",NA,NA,NA,NA,0
"36",1,"shigang43","shigang",1113457,99,"shigang","shigang43",NA,NA,NA,NA,0
"37",3,"helinjiufang","helin",3339061,99,"helin","helinlaozhi",NA,NA,NA,NA,0
"38",1,"xinlian1314","xinlian",11125315,99,"xinlian","xinlian1314",NA,NA,NA,NA,0
"39",2,"fuzhouwanjiadi","fuzhou",2229039,99,"fuzhou","fuzhouwanjiadi",NA,NA,NA,NA,0
"40",1,"xinlian1314","xinlian",11125315,99,"xinlian","xinlian1314",NA,NA,NA,NA,0
"41",1,"hongxing3","hongxing",11123118,99,"hongxing","hongxing3",NA,NA,NA,NA,0
"42",1,"jingang9","jingang",1112491,99,"jingang","jingang9",NA,NA,NA,NA,0
"43",3,"yazhoushangbian1","yazhou",3335057,99,"yazhou","yazhoushangbian1",NA,NA,NA,NA,0
"44",1,"xinlian8","xinlian",11125206,99,"xinlian","xinlian8",NA,NA,NA,NA,0
"45",1,"beixing712","beixing",11116082,99,"beixing","beixing712",NA,NA,NA,NA,0
"46",1,"xinlian1112","xinlian",11125274,99,"xinlian","xinlian1112",NA,NA,NA,NA,0
"47",1,"beixing712","beixing",11116139,99,"beixing","beixing712",NA,NA,NA,NA,0
"48",1,"xinguang4","xinguang",11124249,99,"xinguang","xinguang4",NA,NA,NA,NA,0
"49",3,"xingzengxingzeng2","xingzeng",3334101,99,"xingzeng","xingzengxingzeng2",NA,NA,NA,NA,0
"50",1,"xinlian1112","xinlian",11125303,99,"xinlian","xinlian1112",NA,0,1,1,1
"51",1,"xinlian1112","xinlian",11125278,99,"xinlian","xinlian1112",NA,NA,NA,NA,0
"52",1,"zixi5","zixi",11113293,99,"zixi","zixi5",NA,NA,NA,NA,0
"53",1,"xinlian910","xinlian",11125268,99,"xinlian","xinlian910",NA,0,1,1,1
"54",1,"shigang12","shigang",1113089,99,"shigang","shigang12",NA,NA,NA,NA,0
"55",1,"dukou32","dukou",1116237,99,"dukou","dukou3",NA,NA,NA,NA,0
"56",3,"xihuxinze2","xihu",33310276,99,"xihu","xihu99",NA,NA,NA,NA,0
"57",2,"fuzhouwanjiadi","fuzhou",2229042,99,"fuzhou","fuzhouwanjiadi",NA,NA,NA,NA,0
"58",1,"xinlian56","xinlian",11125131,99,"xinlian","xinlian56",NA,NA,NA,NA,0
"59",1,"xinguang22","xinguang",11124165,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"60",2,"yanjiangtangshang","yanjiang",2222118,99,"yanjiang","yanjiangtangshang",NA,NA,NA,NA,0
"61",1,"gangtou3","gangtou",11121091,99,"gangtou","gangtou3",NA,NA,NA,NA,0
"62",1,"dukou2","dukou",1116068,99,"dukou","dukou2",NA,NA,NA,NA,0
"63",1,"minzhu1","minzhu",11112037,99,"minzhu","minzhu1",NA,NA,NA,NA,0
"64",1,"fusheng67","fusheng",1111386,99,"fusheng","fusheng67",NA,NA,NA,NA,0
"65",1,"zhangxi6","zhangxi",1114431,99,"zhangxi","zhangxi6",NA,NA,NA,NA,0
"66",1,"shigang12","shigang",1113095,99,"shigang","shigang12",NA,NA,NA,NA,0
"67",3,"yongfengsanfang1","yongfeng",33312151,99,"yongfeng","yongfengsanfang",NA,NA,NA,NA,0
"68",1,"zixi5","zixi",11113293,99,"zixi","zixi5",NA,NA,NA,NA,0
"69",1,"hongxing3","hongxing",11123118,99,"hongxing","hongxing3",NA,NA,NA,NA,0
"70",1,"fusheng67","fusheng",1111399,99,"fusheng","fusheng67",NA,NA,NA,NA,0
"71",1,"xinlian910","xinlian",11125181,99,"xinlian","xinlian910",NA,0,1,1,1
"72",1,"dukou52","dukou",1116516,99,"dukou","dukou5",NA,NA,NA,NA,0
"73",2,"dayuminjia","dayu",22211441,99,"dayu","dayuminjia",NA,NA,NA,NA,0
"74",1,"beixing712","beixing",11116139,99,"beixing","beixing712",NA,NA,NA,NA,0
"75",3,"yongfengcaomen2","yongfeng",33312099,99,"yongfeng","yongfengcaomen",NA,NA,NA,NA,0
"76",1,"xinguang4","xinguang",11124253,99,"xinguang","xinguang4",NA,NA,NA,NA,0
"77",2,"lianxingtangjia","lianxing",2225143,99,"lianxing","lianxingtangjia",NA,NA,NA,NA,0
"78",1,"beixing712","beixing",11116139,99,"beixing","beixing712",NA,NA,NA,NA,0
"79",1,"dukou32","dukou",1116194,99,"dukou","dukou3",NA,NA,NA,NA,0
"80",1,"zhangxi6","zhangxi",1114431,99,"zhangxi","zhangxi6",NA,NA,NA,NA,0
"81",1,"beixing712","beixing",11116140,99,"beixing","beixing712",NA,NA,NA,NA,0
"82",2,"lianxingtangjia","lianxing",2225199,99,"lianxing","lianxingtangjia",NA,NA,NA,NA,0
"83",1,"xinlian8","xinlian",11125187,99,"xinlian","xinlian8",NA,NA,NA,NA,0
"84",1,"xinlian1112","xinlian",11125296,99,"xinlian","xinlian1112",NA,NA,NA,NA,0
"85",1,"xinguang22","xinguang",11124165,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"86",1,"xilian8","xilian",1119125,99,"xilian","xilian9",NA,NA,NA,NA,0
"87",1,"shigang12","shigang",1113109,99,"shigang","shigang12",NA,NA,NA,NA,0
"88",1,"minzhu1","minzhu",11112027,99,"minzhu","minzhu1",NA,NA,NA,NA,0
"89",3,"xihuxinze2","xihu",33310273,99,"xihu","xihuxinze1",NA,NA,NA,NA,0
"90",1,"beixing5","beixing",11116057,99,"beixing","beixing5",NA,NA,NA,NA,0
"91",1,"beixing712","beixing",11116095,99,"beixing","beixing712",NA,NA,NA,NA,0
"92",1,"shigang12","shigang",1113080,99,"shigang","shigang12",NA,NA,NA,NA,0
"93",3,"yazhoushangbian2","yazhou",3335107,99,"yazhou","yazhoushangbian2",NA,NA,NA,NA,0
"94",1,"beixing712","beixing",11116124,99,"beixing","beixing712",NA,NA,NA,NA,0
"95",1,"xihe67","xihe",11110326,99,"xihe","xihe67",NA,NA,NA,NA,0
"96",1,"beixing712","beixing",11116106,99,"beixing","beixing712",NA,NA,NA,NA,0
