AID,MATCH,MOVER,BST90P01,BST90P02,BST90P03,BST90P04,BST90P05,BST90P06,BST90P07,BST90P08,BST90P09,BST90P10,BST90P11,BST90P12,BST90P13,BST90P14,BST90P15,BST90P16,BST90P17,BST90P18,BST90P19,BST90P20,BST90P21,BST90P22,BST90P23,BST90P24,BST90P25,BST90P26,BST90P27,BST90P28,BST90P29
57100270,2,9,1,2,0.554,1,2,35,0.961,2,0.88,2,1,0.578,1,0.71,56000,0.915,59000,0.902,1,2,0.866,3,1,1,0.899,3,1,201000,0.785
57101310,2,2,2,1,0.014,1,2,36,0.983,2,0.769,2,1,0.795,1,0.853,14000,0.938,17000,0.947,3,2,0.838,1,3,6,0.956,3,2,25000,0.826
57103171,1,9,2,1,0,1,1,36,0.947,2,0.616,1,1,0.77,8,9998,999998,9998,999998,9998,2,2,0.716,8,8,8,9998,3,8,999998,9998
57103869,2,1,1,2,0.161,1,2,36,0.985,2,0.975,2,1,0.818,3,0.941,17000,0.933,21000,0.966,3,2,0.887,2,3,2,0.922,2,2,48000,0.735
57104553,2,9,1,2,0.018,1,2,27,0.953,1,0.959,3,1,0.78,2,0.94,7000,0.838,8000,0.853,3,1,0.741,1,3,3,0.922,1,1,999998,9998
57104649,1,1,1,2,0.327,1,2,30,0.949,2,0.859,2,1,0.713,1,0.654,58000,0.924,59000,0.91,1,2,0.859,3,2,2,0.893,3,1,197000,0.761
57104676,2,0,1,2,0.327,1,2,30,0.949,2,0.859,2,1,0.713,1,0.654,58000,0.924,59000,0.91,1,2,0.859,3,2,2,0.893,3,1,197000,0.761
57109625,2,0,2,1,0.032,1,2,35,0.969,2,0.723,2,1,0.529,1,0.597,45000,0.897,49000,0.844,1,2,0.932,3,1,2,0.912,3,1,139000,0.667
57110897,2,0,1,2,0.069,1,2,33,0.953,2,0.979,2,1,0.624,2,0.989,26000,0.91,23000,0.928,1,2,0.712,3,3,2,0.839,2,2,999998,9998
57111071,2,0,2,1,0.01,1,2,35,0.98,2,0.67,2,1,0.705,1,0.683,34000,0.941,38000,0.903,1,2,0.919,2,1,2,0.929,3,2,78000,0.835
57111786,1,0,1,1,0.382,1,2,31,0.913,2,0.546,2,1,0.925,1,0.329,45000,0.818,46000,0.812,1,3,0.86,3,1,1,0.835,3,2,93000,0.57
57113943,2,0,1,2,0.566,1,2,39,0.979,1,0.84,2,1,0.87,3,0.748,12000,0.931,999998,9998,3,2,0.948,1,3,2,0.904,1,2,999998,9998
57116359,2,0,1,1,0.451,1,2,32,0.92,1,0.987,2,3,0.887,3,0.823,32000,0.9,34000,0.869,1,2,0.878,3,1,2,0.84,1,3,999998,9998
57117542,0,9,9,9,9999,9,9,99,9999,9,9999,9,9,9999,9,9999,999999,9999,999999,9999,9,9,9999,9,9,9,9999,9,9,999999,9999
57117997,2,0,1,3,0.808,3,2,27,0.952,2,0.823,3,1,0.601,1,0.595,44000,0.906,44000,0.872,1,2,0.845,2,3,2,0.908,3,2,166000,0.56
57118381,1,0,2,1,0.173,1,2,36,0.981,2,0.54,2,1,0.657,1,0.609,18000,0.947,23000,0.929,1,2,0.832,1,2,2,0.897,3,2,999998,9998
57118943,2,0,1,1,0.156,1,2,41,0.956,2,0.673,2,1,0.638,1,0.755,54000,0.934,63000,0.875,1,3,0.402,2,1,1,0.513,3,2,131000,0.795
57120005,2,0,2,1,0.21,1,2,33,0.952,2,0.616,2,1,0.979,1,0.608,56000,0.916,59000,0.896,1,3,0.833,2,1,1,0.856,3,2,253000,0.821
57120046,1,0,2,3,0.607,1,2,29,0.964,2,0.964,2,1,0.589,3,0.983,9000,0.887,11000,0.911,3,1,0.836,1,3,3,0.931,3,2,999998,9998
