AID,CLUSTER2,GSWGT1
57100270,178,447.87330565971337
57101310,108,2527.2363203804302
57103171,115,3400.5215913958614
57103869,167,5821.844145327907
57104553,142,2814.750022864562
57104649,278,571.0692024192708
57104676,278,1928.2724672889663
57109625,224,6268.134767263032
57110897,256,2464.2820720442282
57111071,185,3048.350880368161
57111786,154,2927.691126567288
57113943,167,6146.069666141219
57116359,136,2268.4309532947177
57117542,151,5714.676597741727
57117997,278,684.7893146684895
57118381,294,5576.548666637168
57118943,187,3684.567628777571
57120005,274,4469.22381924302
57120046,111,1045.1554512903122
57120371,161,5809.058123019786
57121404,187,3684.567628777571
57121476,286,4365.63995303068
57123494,141,1559.6488551460934
57127241,179,2059.816015785086
57129567,228,436.33246094904206
57130633,254,5113.7360409845905
57130838,140,3949.320874713627
57131432,145,3846.461742957168
57131909,108,2979.577660411488
57133772,248,4389.366743900282
57134457,240,3101.2312869424595
57134967,267,2937.0305768657736
57134970,253,3410.264827121545
57135078,109,2000.4183550174541
57136630,179,1666.9445837678134
57138056,240,4519.550433825824
57139880,228,4094.338236562083
57141051,172,4704.405641542651
57141800,278,3664.0656930783475
57141919,278,3664.0656930783475
57144659,165,3195.604222491219
57145151,129,1096.1099313002203
57145199,265,18383.28966967225
57145731,153,2572.868978605241
57146734,271,4096.130453773195
57153160,161,7692.341970001002
57154247,141,1617.6258873527177
57154249,141,1743.0661992896717
57154779,267,2937.0305768657736
57155472,109,2699.0521843176994
57157723,243,5230.307468594584
57159779,278,4498.582131584504
57159952,187,3684.567628777571
57160648,168,4308.673303504259
57163116,108,2375.1659685259137
57163657,250,5340.13667620686
57164981,179,1775.1341671699615
57165081,179,1962.6855222108595
57165288,194,4937.68075263472
57165348,187,5444.839780247368
57166019,210,12009.60083252637
57166450,278,870.0272083716343
57166463,278,571.0692024192708
57167951,114,4002.1588162030184
57169110,108,2139.874599848445
57171515,240,2225.835548419814
57177419,240,4519.550433825824
57177942,189,1991.9337737378603
57178110,108,2979.577660411488
57178982,287,815.5152138623114
57179591,189,2196.1192831749518
57185559,154,5625.229273061174
57186150,187,3684.567628777571
57186582,141,1635.108079255026
57188247,251,1044.7608620888054
57188313,136,2063.1599006722067
57191424,248,4400.120002854259
57191909,108,3388.215670870559
57191910,108,3417.368921346542
57192841,187,4163.605237840285
57193349,142,2768.5031128281053
57194529,187,4163.605237840285
